flower_id,event_timestamp,species,sepal_length,sepal_width,petal_length,petal_width
110,2023-12-31 23:59:59+00:00,virginica,6.8,3.0,5.5,2.1
105,2023-12-31 23:59:59+00:00,virginica,6.7,3.3,5.7,2.5
20,2023-12-31 23:59:59+00:00,setosa,4.6,3.2,1.4,0.2
132,2023-12-31 23:59:59+00:00,virginica,6.9,3.1,5.4,2.1
1,2023-12-31 23:59:59+00:00,setosa,4.6,3.6,1.0,0.2
128,2023-12-31 23:59:59+00:00,virginica,6.7,3.3,5.7,2.5
60,2023-12-31 23:59:59+00:00,versicolor,6.0,2.2,4.0,1.0
143,2023-12-31 23:59:59+00:00,virginica,7.1,3.0,5.9,2.1
141,2023-12-31 23:59:59+00:00,virginica,4.9,2.5,4.5,1.7
3,2023-12-31 23:59:59+00:00,setosa,5.0,3.3,1.4,0.2
111,2023-12-31 23:59:59+00:00,virginica,7.9,3.8,6.4,2.0
146,2023-12-31 23:59:59+00:00,virginica,6.4,3.2,5.3,2.3
42,2023-12-31 23:59:59+00:00,setosa,5.5,3.5,1.3,0.2
44,2023-12-31 23:59:59+00:00,setosa,5.2,3.4,1.4,0.2
47,2023-12-31 23:59:59+00:00,setosa,5.2,3.5,1.5,0.2
118,2023-12-31 23:59:59+00:00,virginica,7.7,3.0,6.1,2.3
82,2023-12-31 23:59:59+00:00,versicolor,5.5,2.5,4.0,1.3
6,2023-12-31 23:59:59+00:00,setosa,5.7,3.8,1.7,0.3
120,2023-12-31 23:59:59+00:00,virginica,6.5,3.0,5.2,2.0
52,2023-12-31 23:59:59+00:00,versicolor,7.0,3.2,4.7,1.4
72,2023-12-31 23:59:59+00:00,versicolor,5.4,3.0,4.5,1.5
33,2023-12-31 23:59:59+00:00,setosa,5.0,3.0,1.6,0.2
74,2023-12-31 23:59:59+00:00,versicolor,6.0,2.9,4.5,1.5
62,2023-12-31 23:59:59+00:00,versicolor,5.2,2.7,3.9,1.4
25,2023-12-31 23:59:59+00:00,setosa,5.0,3.4,1.5,0.2
86,2023-12-31 23:59:59+00:00,versicolor,6.8,2.8,4.8,1.4
76,2023-12-31 23:59:59+00:00,versicolor,5.4,3.0,4.5,1.5
113,2023-12-31 23:59:59+00:00,virginica,5.9,3.0,5.1,1.8
55,2023-12-31 23:59:59+00:00,versicolor,5.6,2.5,3.9,1.1
16,2023-12-31 23:59:59+00:00,setosa,4.8,3.1,1.6,0.2
26,2023-12-31 23:59:59+00:00,setosa,5.4,3.4,1.7,0.2
45,2023-12-31 23:59:59+00:00,setosa,5.1,3.7,1.5,0.4
9,2023-12-31 23:59:59+00:00,setosa,4.8,3.0,1.4,0.3
5,2023-12-31 23:59:59+00:00,setosa,5.1,3.8,1.9,0.4
101,2023-12-31 23:59:59+00:00,virginica,7.7,2.8,6.7,2.0
95,2023-12-31 23:59:59+00:00,versicolor,5.6,3.0,4.5,1.5
59,2023-12-31 23:59:59+00:00,versicolor,5.7,3.0,4.2,1.2
107,2023-12-31 23:59:59+00:00,virginica,6.5,3.2,5.1,2.0
68,2023-12-31 23:59:59+00:00,versicolor,6.0,3.4,4.5,1.6
53,2023-12-31 23:59:59+00:00,versicolor,5.7,2.8,4.1,1.3
89,2023-12-31 23:59:59+00:00,versicolor,6.6,2.9,4.6,1.3
137,2023-12-31 23:59:59+00:00,virginica,6.3,2.9,5.6,1.8
35,2023-12-31 23:59:59+00:00,setosa,4.3,3.0,1.1,0.1
54,2023-12-31 23:59:59+00:00,versicolor,6.5,2.8,4.6,1.5
2,2023-12-31 23:59:59+00:00,setosa,5.1,3.5,1.4,0.2
140,2023-12-31 23:59:59+00:00,virginica,6.8,3.0,5.5,2.1
93,2023-12-31 23:59:59+00:00,versicolor,5.7,2.8,4.5,1.3
37,2023-12-31 23:59:59+00:00,setosa,4.6,3.1,1.5,0.2
64,2023-12-31 23:59:59+00:00,versicolor,5.7,2.8,4.5,1.3
